"","dist","sex","id","road_residence_count","powerline_residence_count","move"
"1094",0,"female","23",0,0,0
"1096",0,"female","23",0,0,0
"867",0,"female","13",0,0,0
"936",0,"female","13",0,0,0
"818",0,"female","13",0,0,0
"915",0,"female","13",0,0,0
"918",2.06155281280883,"female","13",0,0,1
"951",2.06155281280883,"female","13",0,0,1
"961",0,"female","13",0,0,0
"962",0,"female","13",0,0,0
"930",0,"female","13",0,0,0
"948",0,"female","13",0,0,0
"923",0,"female","13",0,0,0
"938",0,"female","13",0,0,0
"939",0,"female","13",0,0,0
"942",0,"female","13",0,0,0
"933",0,"female","13",0,0,0
"965",0,"female","13",0,0,0
"955",0,"female","13",0,0,0
"834",29.7195222034272,"female","13",0,0,1
"922",62.8907783383224,"female","13",0,0,1
"957",4.30116263352131,"female","13",0,0,1
"850",14.8660687473185,"female","13",0,0,1
"945",0,"female","13",0,0,0
"899",0,"female","13",0,0,0
"904",0,"female","13",0,0,0
"798",0,"female","13",0,0,0
"870",0,"female","13",0,0,0
"916",0,"female","13",0,0,0
"799",0,"female","13",0,0,0
"882",0,"female","13",0,0,0
"891",0,"female","13",0,0,0
"908",0,"female","13",0,0,0
"832",0,"female","13",0,0,0
"903",0,"female","13",0,0,0
"964",0,"female","13",0,0,0
"913",15.4434452114805,"female","13",0,0,1
"802",15.4434452114805,"female","13",0,0,1
"844",1.5,"female","13",0,0,1
"819",0,"female","13",0,0,0
"814",0,"female","13",0,0,0
"927",32.3303263206544,"female","13",0,0,1
"863",8.90224690738243,"female","13",0,1,1
"869",0,"female","13",0,0,0
"940",5.70087712549569,"female","13",0,0,1
"946",0,"female","13",0,1,0
"884",0,"female","13",0,1,0
"849",3.35410196624968,"female","13",0,1,1
"898",0,"female","13",0,0,0
"862",3.35410196624968,"female","13",0,0,1
"959",0,"female","13",0,1,0
"829",3.35410196624968,"female","13",0,1,1
"953",0,"female","13",0,0,0
"924",3.35410196624968,"female","13",0,0,1
"885",3.35410196624968,"female","13",0,1,1
"920",0,"female","13",0,0,0
"954",3.35410196624968,"female","13",0,0,1
"956",5.70087712549569,"female","13",0,1,1
"812",14.422205101856,"female","13",0,0,1
"963",7.63216876123687,"female","13",0,0,1
"917",4.5,"female","13",0,1,1
"921",0,"female","13",0,0,0
"914",0,"female","13",0,0,0
"931",5.22015325445528,"female","13",0,0,1
"1074",0,"female","23",0,0,0
"1137",14.7054411698527,"female","23",0,0,1
"1141",0,"female","23",0,0,0
"1075",7.15891053163818,"female","23",0,0,1
"1090",0,"female","23",0,0,0
"1083",0,"female","23",0,0,0
"1100",0,"female","23",0,0,0
"1164",0,"female","23",0,0,0
"1155",1,"female","23",0,0,1
"1079",1,"female","23",0,0,1
"1095",0,"female","23",0,0,0
"1098",0,"female","23",0,0,0
"1085",0,"female","23",0,0,0
"1102",0,"female","23",0,0,0
"1073",0,"female","23",0,0,0
"1111",0,"female","23",0,0,0
"1149",5,"female","23",0,0,1
"1092",0,"female","23",0,0,0
"1148",0,"female","23",0,0,0
"1101",0,"female","23",0,0,0
"1089",0,"female","23",0,0,0
"1119",1.5,"female","23",0,0,1
"1124",0,"female","23",0,0,0
"1140",8.5146931829632,"female","23",0,0,1
"1107",0,"female","23",0,0,0
"1084",0,"female","23",0,0,0
"1114",0,"female","23",0,0,0
"1132",2.82842712474619,"female","23",0,0,1
"1086",1.80277563773199,"female","23",0,0,1
"1126",3.20156211871642,"female","23",0,0,1
"1133",0,"female","23",0,0,0
"1136",11.2361025271221,"female","23",0,0,1
"1088",2,"female","23",0,0,1
"1142",0,"female","23",0,0,0
"1152",1,"female","23",0,0,1
"1116",1,"female","23",0,0,1
"1067",1.58113883008419,"female","23",0,0,1
"1161",10.5118980208143,"female","23",0,0,1
"1129",59.0762219509677,"female","23",0,0,1
"1122",0,"female","23",0,0,0
"1139",0,"female","23",0,0,0
"1104",0,"female","23",0,0,0
"1076",41.0274298488219,"female","23",0,0,1
"1151",46.8241390737726,"female","23",0,0,1
"1109",160.031246948838,"female","23",0,1,1
"1099",99.4648179006024,"female","23",1,0,1
"1130",0,"female","23",1,0,0
"1160",0,"female","23",1,0,0
"1156",0,"female","23",1,0,0
"1105",0,"female","23",1,0,0
"1135",0,"female","23",1,0,0
"1163",0,"female","23",1,0,0
"1120",0,"female","23",1,0,0
"1146",0,"female","23",1,0,0
"1144",0,"female","23",1,0,0
"1118",0,"female","23",1,0,0
"1123",0,"female","23",1,0,0
"1128",0,"female","23",1,0,0
"1157",0,"female","23",1,0,0
"1153",0,"female","23",1,0,0
"1117",0,"female","23",1,0,0
"1110",0,"female","23",1,0,0
"1150",0,"female","23",1,0,0
"1154",0,"female","23",1,0,0
"1159",0,"female","23",1,0,0
"1138",15.2643375224737,"female","23",1,0,1
"1108",3.90512483795333,"female","23",0,0,1
"1077",1.80277563773199,"female","23",0,0,1
"1143",11.0679718105893,"female","23",0,0,1
"1202",0,"male","27",0,0,0
"1176",0,"male","27",0,0,0
"1267",0,"male","27",0,0,0
"1168",0,"male","27",0,0,0
"1208",1.5,"male","27",0,0,1
"1183",0,"male","27",0,0,0
"1179",8.06225774829855,"male","27",0,0,1
"1246",0,"male","27",0,0,0
"1251",15.0416089564913,"male","27",0,0,1
"1173",0,"male","27",0,0,0
"1167",0,"male","27",0,0,0
"1195",0,"male","27",0,0,0
"1226",0,"male","27",0,0,0
"1170",0,"male","27",0,0,0
"1181",0,"male","27",0,0,0
"1236",0,"male","27",0,0,0
"1241",0,"male","27",0,0,0
"1248",0,"male","27",0,0,0
"1291",0,"male","27",0,0,0
"1177",0,"male","27",0,0,0
"1261",0,"male","27",0,0,0
"1227",0,"male","27",0,0,0
"1271",0,"male","27",0,0,0
"1175",0,"male","27",0,0,0
"1281",9.17877987534291,"male","27",0,0,1
"1194",9.82344135219425,"male","27",0,0,1
"1292",0,"male","27",0,0,0
"1298",12.0830459735946,"male","27",0,0,1
"1302",14.0356688476182,"male","27",0,0,1
"1186",7.56637297521078,"male","27",0,0,1
"1232",0,"male","27",0,0,0
"1317",2.12132034355964,"male","27",0,0,1
"1321",0,"male","27",0,0,0
"1166",22.8527897640529,"male","27",0,0,1
"1255",0,"male","27",0,0,0
"1219",3,"male","27",0,0,1
"1223",0,"male","27",0,0,0
